index,actor,detail
571,John Cleese,Wel I hardly think this is good enough. I think it's be more appropriate if the box bore a great red label warning lark's vomit.
572,John Cleese,Well why don't you move into more conventional areas of confectionary* like praline or lime cream; a very popular flavor* I'm lead to understand.
573,John Cleese,anthrax ripple! What's this one: 'spring surprise'?
574,John Cleese,Well where's the pleasure in that? If people place a nice chocky in their mouth* they don't want their cheeks pierced. In any case this is an inadequate description of the sweetmeat. I shall have to ask you to accompany me to the station.
575,John Cleese,Stop talking to the camera.
576,John Cleese,The BBC would like to apologize for the extremely poor quality of the next announcement* only he's not at all well.
577,Michael Palin,Ladies and gentlemen. Before the play starts* I would like to apologize to you all* but unfortunately Miss Cicely Courtneidge is unable to appear* owing to...
578,John Cleese,Yes! Policemen make wonderful friends. So if you are over six feet tall and would like a friend* a pen friend* in the police force* here is the address to write to: 'Mrs Ena Frog* 8 Masonic Apron Street* Cowdenbeath'. Remember - policemen make wonderful friends. So write today and take advantage of our free officer. Thank you. And now for the next sketch.
579,John Cleese,For Mrs Emma Hamilton of Nelson* a Scotsman on a horse.
580,Michael Palin,Yeah! Er ... yeah.
581,Michael Palin,Oh well you haven't told us... what it is yet...
582,Michael Palin,I like what he likes.
583,John Cleese,I like what he likes
584,John Cleese,Think of the colours!
585,John Cleese,It's where it's at!
586,Michael Palin,I like it* I like it.
587,Michael Palin,Yeah* yeah* I
588,Michael Palin,I like it
589,John Cleese,Well ... I think it's an excellent idea.
590,John Cleese,No* no* no* I mean there may be things against it.
591,John Cleese,No* no* I mean it takes time.
592,John Cleese,Yo. Nes. Perhaps.
593,Michael Palin,We dropped our pencils.
594,Michael Palin,Oh...
595,Michael Palin,I feel fine now.
596,Michael Palin,Yeah. Splunge for me too.
597,Michael Palin,Er... er... er... I can't take it anymore.
598,Michael Palin,It's...
599,John Cleese,Good evening. Tonight we're going to take a hard tough abrasive look at camel spotting. Hello.
600,John Cleese,Now tell me* what exactly are you doing?
601,John Cleese,Good. And how many camels have you spotted so far?
602,John Cleese,Nearly one?
603,John Cleese,Fine. And er how long have you been here?
604,John Cleese,So* in* er* three years you've spotted no camels?
605,John Cleese,A Yeti spotter* that must have been extremely interesting.
606,John Cleese,And have you seen them all?
607,John Cleese,Well* now tell me* what do you do when you spot a camel?
608,John Cleese,Camels don't have numbers.
609,John Cleese,What?
610,John Cleese,Well how do you tell if it's a dromedary?
611,John Cleese,Mr Sopwith* aren't you in fact a train spotter?
612,John Cleese,Don't you in fact spot trains?
613,John Cleese,If you can spot one.
614,Michael Palin,Lady Chairman* sir* shareholders* ladies and gentlemen. I have great pleasure in announcing that owing to a cutback on surplus expenditure of twelve million Canadian dollars* plus a refund of seven and a half million Deutschmarks from the Swiss branch* and in addition adding the debenture preference stock of the three and three quarter million to the directors' reserve currency account of seven and a half million* plus an upward expenditure margin of eleven and a half thousand lira* due to a rise in capital investment of ten million pounds* this firm last year made a complete profit of a shilling.
615,Michael Palin,Er* roughly* yes sir.
616,Michael Palin,Well that's very kind of you sir* but I don't think I'm ready to be Chairman yet.
617,John Cleese,Wilkins* Wilkins. This shilling* is it net or gross?
618,Michael Palin,It's British sir.
619,Michael Palin,Yes* this is after tax. Owing to the rigorous bite of the income tax five pence of a further sixpence was swallowed up in tax.
620,John Cleese,Five pence of a
621,John Cleese,sixpence?
622,Michael Palin,Yes sir.
623,Michael Palin,That's right sir.
624,Michael Palin,... Er.
625,John Cleese,That makes you a penny short Wilkins. Where is it?
626,Michael Palin,... Erm.
627,Michael Palin,I embezzled it sir.
628,Michael Palin,Yes all of it.
629,John Cleese,You naughty person.
630,Michael Palin,It's my first. Please be gentle with me.
631,Michael Palin,Oh please* please.
632,Michael Palin,And they want to put the licence fee up?
633,Michael Palin,A little joke* a little jest. Nothing to worry about ladies and gentlemen. Now we've got some science fiction for you* some sci-fi* something to send the shivers up your spine* send the creepy crawlies down your lager and limes. All the lads have contributed to it* it's a little number entitled* Science Fiction Sketch...
634,John Cleese,The Universe consists of a billion* billion galaxies... 77*000*000*000 miles across* and every galaxy is made up of a billion* zillion stars and around these stars circle a billion planets* and of all of these planets the greenest and the pleasantest is the planet Earth* in the system of Sol* in the Galaxy known as the Milky Way ... And it was to this world that creatures of an alien planet came ... to conquer and destroy the very heart of civilization...
635,John Cleese,... Harold Potter* gardener* and tax official* first victim of Creatures from another Planet.
636,John Cleese,Soon Scotland was full of Scotsmen. The over-crowding was pitiful.
637,John Cleese,Three men to a caber.
638,John Cleese,For the few who remained* life was increasingly difficult.
639,John Cleese,Then suddenly a clue turned up in Scotland. Mr Angus Podgorny* owner of a Dunbar menswear shop* received an order for 48*000*000 kilts from the planet Skyron in the Galaxy of Andromeda.
640,Michael Palin,I'll have t'do it in two goes.
641,Michael Palin,Is that so?
642,Michael Palin,Aye ... but think o' the money dear ... £18.10.0d a kilt ...that's ...
643,Michael Palin,£900*000*000 - and that's without sporrans!
644,Michael Palin,Aye ... we'd be able to afford writing paper with our names on it... We'd be able to buy that extension to the toilet...
645,Michael Palin,Who?
646,Michael Palin,Och ... well ... he wasna really a man* d'you ken ...
647,Michael Palin,He was as strange a thing as ever I saw* or ever I hope to see* God willing. He was a strange unearthly creature - a quivering* glistening mass...
648,Michael Palin,He wasna so much a man as... a blancmange!
649,John Cleese,A blancmange* eh?
650,John Cleese,Hang on!
651,John Cleese,There's five.
652,John Cleese,Five people . . . how do you play doubles with five people?
653,John Cleese,Sounds a bit funny if you ask me ... playing doubles with five people...
654,John Cleese,Oh yes?
655,John Cleese,Look* are you asking me to believe that the five of you was playing doubles* when on the very next court there was a blancmange playing by itself?.
656,John Cleese,Well answer me this then - why didn't Jocasta play the blancmange at singles* while you and Sandra and Alec and David had a proper game of doubles with four people?
657,John Cleese,Call that friendship? Messing up a perfectly good game of doubles?
658,John Cleese,Look it's
659,John Cleese,affair if you want to play with five people ... but don't go calling it doubles. Look at Wimbledon* right? If Fred Stolle and Tony Roche played Charlie Pasarell and Cliff Drysdale and Peaches Bartcowitz... they wouldn't go calling it doubles.
660,John Cleese,That could play Ann Haydon-Jones and her husband Pip.
661,Michael Palin,Aye!
662,Michael Palin,Aye* I did.
663,Michael Palin,I believe it.
664,Michael Palin,Och* woman* if a blancmange is prepared to come 2*200*000 light years to purchase a kilt* they must be fairly keen on kilts. So cease yer prattling woman and get sewing. This could be the biggest breakthrough in kilts since the Provost of Edinburgh sat on a spike. Mary* we'll be rich! We'll be rich!
665,Michael Palin,Ah mebbe not but he has gi' me this...
666,Michael Palin,An entry form for the British Open Tennis Championships at Wimbledon Toon ... signed and seconded.
667,Michael Palin,Aye* but I must go though dear* I dinna want to seem ungrateful.
668,Michael Palin,But I must.
669,Michael Palin,Oh* Mary...
670,Michael Palin,Oh* oh* Mary! Look out! Look out!
671,Michael Palin,Aye ... I'll ... do ... my best* sergeant.
672,Michael Palin,Er* detective inspector.
673,Michael Palin,Yes* sir.
674,Michael Palin,No* sir.
675,Michael Palin,Oh yes. That's the one that ate my Mary!
676,Michael Palin,But what about the 48*000*000 kilts and the Galaxy of Andromeda?
677,Michael Palin,Then you mean...
678,Michael Palin,But...
679,Michael Palin,Yes.
680,Michael Palin,Not?
681,Michael Palin,Why?
682,Michael Palin,Do you think?
683,Michael Palin,She was...
684,John Cleese,Yes it was Mr and Mrs Samuel Brainsample* who* after only a brief and misleadling appearance in the early part of the film* returned to save the Earth ... but why?
685,John Cleese,She makes blancmanages
686,John Cleese,size?
687,John Cleese,So the world was saved! And Angus Podgorny became the first Scotsman to win Wimbledon... fifteen years later.
688,Michael Palin,It's...
689,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
690,Michael Palin,Speaking as a public opinion poll* I've had enough of the permissive society.
691,John Cleese,In 1943* a group of British Army Officers working deep behind enemy lines* carried out one of the most dangerous and heroic raids in the history of warfare. But that's as maybe. And now . . .
692,John Cleese,Two civilian gentlemen to see you ... sir!
693,John Cleese,Mr Dino Vercotti and Mr Luigi Vercotti.
694,Michael Palin,You've ... you've got a nice army base here* colonel.
695,Michael Palin,We wouldn't want anything to happen to it.
696,Michael Palin,No* we prefer to stand* thank you* colonel.
697,Michael Palin,Ha ha ha* very good* colonel.
698,Michael Palin,Explain it to the colonel* Dino.
699,Michael Palin,Five hundred! Hey!
700,Michael Palin,Well everything breaks* don't it colonel.
701,Michael Palin,Oh dear.
702,Michael Palin,How many men you got here* colonel?
703,Michael Palin,Paratroops* Dino.
704,Michael Palin,Fires happen* colonel.
705,Michael Palin,Could save you a lot of bother.
706,Michael Palin,Well suppose some of your tanks was to get broken and troops started getting lost* er* fights started breaking out during general inspection* like.
707,Michael Palin,Whatever made you think that* colonel?
708,Michael Palin,We're your buddies* colonel.
709,Michael Palin,We can guarantee you that not a single armoured division will get done over for fifteen bob a week.
710,Michael Palin,Twelve and six.
711,Michael Palin,Eight and six ... five bob...
712,Michael Palin,It's only 'cos you couldn't think of a punch line.
713,Michael Palin,Full frontal nudity? Yes I'd do it* if it was valid. Or if the money was valid* and if it were a very small part.
714,Michael Palin,Good evening. I'd like to talk to you tonight about the place of the nude in my bed ... um ... in the history of my bed ... of art* of
715,Michael Palin,Oh hello there father* er confessor* professor* your honour* your grace ...
716,Michael Palin,What a terrible joke!
717,John Cleese,Oh dear* did somebody say mattress to Mr Lambert?
718,Michael Palin,Did somebody say mattress to Mr Lambert?
719,Michael Palin,Hey* everybody* somebody said mattress to Mr Lambert* twice.
720,John Cleese,I would only perform in a scene in which there was full frontal nudity.
721,Michael Palin,Hello* are you a hermit by any chance?
722,Michael Palin,Yes* I certainly am.
723,Michael Palin,Oh you know* the usual - people* chat* gossip* you know.
724,Michael Palin,Oh* up the goat track* first on the left.
725,Michael Palin,Yes they are* I've got a beauty.
726,Michael Palin,No* we've had ours insulated.
727,Michael Palin,Yes* I used birds' nests* moss and oak leaves round the outside.
728,Michael Palin,Oh it's a treat* it really is* 'cos otherwise those stone caves can be so grim.
729,Michael Palin,Oh yes.
730,Michael Palin,With the* er* green loin cloth?
731,Michael Palin,Oh I see* yes.
732,Michael Palin,Really?
733,John Cleese,Morning Frank.
734,Michael Palin,Oh well* Mr Robinson's cave's never been exactly nirvana has it?
735,Michael Palin,... on the end.
736,Michael Palin,Well why don't you try birds nests like I've done? Or else* dead bracken.
737,Michael Palin,Still there's one thing about being a hermit* at least you meet people.
738,Michael Palin,Oh well* bye for now Frank* must toddle.
739,John Cleese,Hello* I wish to register a complaint...Hello? Miss?
740,Michael Palin,What do you mean* miss?
741,John Cleese,Oh I'm sorry* I have a cold. I wish to make a complaint!
742,Michael Palin,Sorry* we're closing for lunch.
743,John Cleese,Never mind that* my lad. I wish to complain about this parrot what I purchased not half an hour ago from this very boutique.
744,Michael Palin,Oh yes* the* the Norwegian Blue. What's wrong with it?
745,John Cleese,I'll tell you what's wrong with it* my lad. It's dead* that's what's wrong with it!
746,Michael Palin,No* no* it's resting* look!
747,John Cleese,Look my lad* I know a dead parrot when I see one* and I'm looking at one right now.
748,Michael Palin,No no sir. it's not dead. It's resting!
749,John Cleese,Resting?
750,Michael Palin,Yeah* remarkable bird* the Norwegian Blue* beautiful plumage* innit?
751,John Cleese,The plumage don't enter into it - it's stone dead.
752,Michael Palin,No* no - it's just resting!
753,John Cleese,All right then* if it's restin'* I'll wake him up!
754,John Cleese,Hello Polly! I've got a nice cuttlefish for you when you wake up* Polly Parrot!
755,Michael Palin,There* it moved!
756,John Cleese,No* he didn't. That was you pushing the cage!
757,Michael Palin,I did not.
758,John Cleese,Yes* you did!
759,John Cleese,Now that's what I call a dead parrot.
760,Michael Palin,No* no. It's stunned.
761,John Cleese,Look my lad* I've had just about enough of this. That parrot is definitely deceased. And when I bought it not half an hour ago* you assured me that its lack of movement was due to it being tired and shagged out after a long squawk.
762,Michael Palin,It's probably pining for the fjords.
763,John Cleese,Pining for the fjords* what kind of talk is that? Look* why did it fall flat on its back the moment I got it home?
764,Michael Palin,The Norwegian Blue prefers kipping on it's back! Beautiful bird* lovely plumage!
765,John Cleese,Look* I took the liberty of examining that parrot* and I discovered the only reason that it had been sitting on its perch in the first place was that it had been nailed there.
766,Michael Palin,Well of course it was nailed there. Otherwise it would muscle up to those bars and voom.
767,John Cleese,Look matey
768,John Cleese,this parrot wouldn't voom if you put four thousand volts through it! It's bleedin' demised!
769,Michael Palin,It's not* it's pining!
770,John Cleese,It's not pining* it's passed on. This parrot is no more! It has ceased to be. It's expired and gone to meet its maker.This is a late parrot. It's a stiff. Bereft of life* it rests in peace. If you hadn't nailed it to the perch it would be pushing up the daisies. It's rung down the curtain and joined the choir invisible. This is an ex-parrot.
771,Michael Palin,Well* I'd better replace it* then.
772,John Cleese,If you want to get anything done in this country you've got to complain till you're blue in the mouth.
773,Michael Palin,Sorry guv* we're right out of parrots.
774,John Cleese,I see. I see. I get the picture.
775,Michael Palin,I got a slug.
776,John Cleese,Does it talk?
777,Michael Palin,Not really* no.
778,John Cleese,Well* it's scarcely a replacement* then is it?
779,Michael Palin,Listen* I'll tell you what*
780,Michael Palin,tell you what* if you go to my brother's pet shop in Bolton he'll replace your parrot for you.
781,John Cleese,Bolton eh?
782,Michael Palin,Yeah.
783,John Cleese,All right.
784,John Cleese,Er* excuse me. This is Bolton* is it?
785,Michael Palin,No* no it's* er* Ipswich.
786,John Cleese,I wish to make a complaint.
787,John Cleese,I beg your pardon.
788,John Cleese,Er* excuse me* this is irrelevant* isn't it.
789,John Cleese,Well I wish to make a complaint. I got on the Bolton train and found myself deposited here in Ipswich.
790,John Cleese,The pet shop owner's brother was lying.
791,John Cleese,If this is Bolton* I shall return to the pet shop.
792,John Cleese,I understand that this
793,John Cleese,Bolton.
794,Michael Palin,Yes.
795,John Cleese,Well* you told me it was Ipswich.
796,Michael Palin,It was a pun.
797,John Cleese,A pun?
798,Michael Palin,No* no* not a pun* no. What's the other thing which reads the same backwards as forwards?
799,John Cleese,A palindrome?
800,Michael Palin,Yes* yes.
801,John Cleese,It's not a palindrome. The palindrome of Bolton would be Notlob. It don't work.
802,Michael Palin,Look* what do you want.
803,John Cleese,No I'm sorry* I'm not prepared to pursue my line of enquiry any further as I think this is getting too silly.
804,Michael Palin,Well they come up to you* like* and push you - shove you off the pavement* like. There's usually four or five of them.
805,John Cleese,Well Mr Johnson's son Kevin* he don't go out any more. He comes back from wrestling and locks himself in his room.
806,John Cleese,David Hemmings appeared by permission of the National Forestry Commission.
807,Michael Palin,It's...
808,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
809,John Cleese,The llama is a quadruped which lives in the big rivers like the Amazon. It has two ears* a heart* a forehead* and a beak for eating honey. But it is provided with fins for swimming.
810,John Cleese,Llamas are dangerous* so if you see one where people are swimming* you shout...
811,John Cleese,And now for something completely different - a man with a tape recorder up his nose.
812,Michael Palin,And now for something completely different. The office of Sir George Head* OBE.
813,John Cleese,Next please.
814,John Cleese,One at a time please.
815,John Cleese,So there is. Take a . . .
816,John Cleese,Seat! Take a seat. So!
817,John Cleese,Yes.
818,John Cleese,Jolly good* jolly good.
819,John Cleese,And how about you?
820,John Cleese,Now let me fill you in. I'm leading this expedition and we're going to climb both peaks of Mount Kilimanjaro.
821,John Cleese,Well* that'll save a bit of time. Well done. Now the object of this expedition is to see if we can find any traces of last year's expedition.
822,John Cleese,Yes* my brother was leading that* they were going to build a bridge between the two peaks*
823,John Cleese,My idea I'm afraid. Now* I ought to tell you that I have practically everyone I need for this expedition ... so what special qualifications do you have?
824,John Cleese,Yes* you first.
825,John Cleese,Carry on.
826,John Cleese,Mountaineer? Mountaineer
827,John Cleese,where the devil are they* mound* mount... mountain... a mountaineer: 'two men skilled in climbing mountains'. Jolly good* well you're in. Congratulations* both of you. Well* er* what are your names?
828,John Cleese,Arthur Wilson* right well look* I'll call you
829,John Cleese,Arthur Wilson two* just to avoid confusion.
830,John Cleese,Yes* we are leading this expedition to Africa.
831,John Cleese,Good questions... shall I? Well we'll be leaving on January 22nd and taking the following routes.
832,John Cleese,The A23s through Purleys down on the main roads near Purbrights avoiding Leatherheads and then taking the A231s entering Rottingdeans from the North. From Rottingdeans we go through Africa to Nairobis. We take the South road out of Nairobis for about twelve miles and then ask.
833,John Cleese,Oh* yes I think most of them do down there.
834,John Cleese,Oh* well Matron's got a smattering.
835,John Cleese,Good God* I'd forgotten about her.
836,John Cleese,Well we've got the Arthur Brown twins* two botanists called Machin* the William Johnston brothers ...
837,John Cleese,No four of them* a pair of identical twins ... and a couple of the Ken Spinoza quads - the other two pulled out. And of course you two.
838,John Cleese,Well you two are* and we've got a brace of guides called Jimmy Blenkinsop... because Kilimanjaro is a pretty tricky climb you know* most of it's up until you reach the very very top* and then it tends to slope away rather sharply. But Jimmy's put his heads together and worked out a way up.
839,John Cleese,I don't believe you've met. Jimmy Blenkinsop - Arthur Wilson* Arthur Wilson -Jimmy Blenkinsop... Arthur Wilson two -James Blenkinsop one* James Blenkinsop one - Arthur Wilson two. Carry on Jimmies.
840,John Cleese,He'll be leading the first assault.
841,John Cleese,Oh dear.
842,John Cleese,Well how about you?
843,John Cleese,So are we.
844,John Cleese,And now for aomething completely different - a man with a tape recorder up his brother's nose.
845,John Cleese,AND NOW IN STEREO...'
846,Michael Palin,Ah ... good morning sir* good morning. I'll be with you in a minute.
847,Michael Palin,How... how would you like it* sir?
848,Michael Palin,How do you do that?
849,Michael Palin,It's not a ... razor cut?
850,Michael Palin,It's just a scissors.
851,Michael Palin,You wouldn't rather just have it combed* would you sir?
852,Michael Palin,You wouldn't rather forget all about it?
853,Michael Palin,Cut* cut* cut* blood* spurt* artery* murder* Hitchcock* Psycho... right sir ... well ...
854,Michael Palin,I'll just get everything ready. In the meanwhile perhaps you could fill in one of these.
855,Michael Palin,What?
856,Michael Palin,Yes* yes ... yes.
857,Michael Palin,Thank you.
858,Michael Palin,Right!
859,Michael Palin,Ha* ha* ha ... there* I've finished.
860,Michael Palin,I've finished cutting... cutting... cutting your hair. It's all done*
861,Michael Palin,I have! I did it very quickly... your honour...
862,Michael Palin,... sir...
863,Michael Palin,Yes* yes* I will* I'm going to cut your hair* sir. I'm going to start cutting your hair* sir* start cutting now!
864,Michael Palin,Nice day* sir*
865,Michael Palin,Did you see the match last night* sir?
866,Michael Palin,I thought Hurst played well sir.
867,Michael Palin,I thought Hurst played well.
868,Michael Palin,Can you put your head down a little* sir?
869,Michael Palin,I prefer to watch Palace nowadays.
870,Michael Palin,Oh! Sorry! Was that your ear?
871,Michael Palin,Yes* it's a nice spot* isn't it.
872,Michael Palin,It looks very nice sir.
873,Michael Palin,Right* that's the lot then.
874,Michael Palin,All right ... I confess I haven't cut your hair ... I hate cutting hair. I have this terrible un-un-uncontrollable fear whenever I see hair. When I was a kid I used to hate the sight of hair being cut. My mother said I was a fool. She said the only way to cure it was to become a barber. So I spent five ghastly years at the Hairdressers' Training Centre at Totnes. Can you imagine what it's like cutting the
875,Michael Palin,We'd sing ... sing ... sing.
876,Michael Palin,I cut down trees* I eat my lunch*
877,Michael Palin,I cut down trees* I skip and jump*
878,Michael Palin,I chop down trees* I wear high heels*
879,Michael Palin,...just like my dear Mama.
880,John Cleese,Dear Sir* I wish to complain in the strongest possible terms about the song which you have just broadcast* about the lumberjack who wears women's clothes. Many of my best friends are lumberjacks and only a few of them are transvestites. Yours faithfully* Brigadier Sir Charles Arthur Strong (Mrs.) PS I have never kissed the editor of the Radio Times.
881,Michael Palin,So anyway* I became a barber.
882,Michael Palin,Yes* pity really* I always preferred the outdoor life. Hunting* shooting* fishing. Getting out there with a gun* slaughtering a few of God's creatures - that was the life. Charging about the moorland* blasting their heads off.
883,John Cleese,And now for something completely different.
884,John Cleese,Good evening. My name is Equator* Mr Equator Equator. Like round the middle of the Earth* only with an L.
885,John Cleese,This is my wife Audrey* she smells a bit but she has a heart of gold.
886,John Cleese,Who's that then?
887,John Cleese,Who's the bird?
888,John Cleese,You got a nice pair there haven't you love.
889,John Cleese,Shut up you silly bitch* it was only a bit of fun.
890,John Cleese,Big gin please.
891,John Cleese,I told you to lay off the beans* you whore!
892,John Cleese,Button your lip you rat-bag.
893,John Cleese,It was rather witty* wasn't it? Where's my gin?
894,John Cleese,Oh* I took the liberty of inviting an old friend along* as his wife has just passed away* and he's somewhat distraught poor chap. I hope you don't mind.
895,John Cleese,Not too good is it? A pint of crème de menthe for my friend. Well how are you* you great poof?
896,John Cleese,Is he sexy?
897,Michael Palin,I had to bring the goat* he's not well. I only hope he don't go on the carpet.
898,John Cleese,Come on then love* drop 'em.
899,John Cleese,Blimey* she don't go much do she.
900,Michael Palin,The goat's just done a bundle.
901,John Cleese,I beg your pardon?
902,John Cleese,I don't much like the tone of your voice.
903,John Cleese,Right let's have a ding dong...
904,Michael Palin,It's...
905,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
906,Michael Palin,Ooh. Ooh.
907,Michael Palin,It's from the BBC. They want to know if I want to be in a sketch on telly.
908,Michael Palin,What? It's acting innit?
909,Michael Palin,Well I'm a plumber. I can't act.
910,Michael Palin,Well* they just want me to stand at a counter* and when the sketch starts I go out.
911,Michael Palin,Walk-on? That's a walk-off* that's what this is.
912,John Cleese,Well* where is he* George?
913,John Cleese,He bloody should have been.
914,Michael Palin,It just says 'We would like you to be in a sketch. You are standing at a counter. When the sketch starts you go off. Yours faithfully* Lord Hill.'
915,Michael Palin,Yeah* well* what about the cat?
916,Michael Palin,All right then* all right. Bye. Bye dear.
917,John Cleese,Good morning* I am a bank robber. Er* please don't panic* just hand over all your money.
918,John Cleese,Fine* fine* fine.
919,John Cleese,Adopt* adapt and improve. Motto of the round table. Well* um ... what have you got?
920,John Cleese,Fine* fine* fine* fine. No large piles of money in safes?
921,John Cleese,No deposit accounts?
922,John Cleese,No piles of cash in easy to carry bags?
923,John Cleese,No luncheon vouchers?
924,John Cleese,Fine* fine. Well* um... adopt* adapt and improve. Just a pair of knickers then please.
925,John Cleese,Well* er* thanks Tree. I've got to pay the rent.
926,John Cleese,Well I've just been starring in several major multi-million dollar international films* and* during breaks on the set* I've been designing a Cathedral* doing wonderful unpublicized work for charity* er* finishing my history of the world* of course* pulling the birds* er* photographing royalty on the loo* averting World War Three - can't be bad - and* er learning to read.
927,John Cleese,Ah Mr Anchovy. Do sit down.
928,Michael Palin,Thank you. Take the weight off the feet* eh?
929,John Cleese,Yes* yes.
930,Michael Palin,Lovely weather for the time of year* I must say.
931,John Cleese,Enough of this gay banter. And now Mr Anchovy* you asked us to advise you which job in life you were best suited for.
932,Michael Palin,That is correct* yes.
933,John Cleese,Well I now have the results here of the interviews and the aptitude tests that you took last week* and from them we've built up a pretty clear picture of the sort of person that you are. And I think I can say* without fear of contradiction* that the ideal job for you is chartered accountancy.
934,Michael Palin,But I
935,Michael Palin,a chartered accountant.
936,John Cleese,Jolly good. Well back to the office with you then.
937,Michael Palin,No! No! No! You don't understand. I've been a chartered accountant for the last twenty years. I want a new job. Something
938,Michael Palin,.
939,John Cleese,Well chartered accountancy is rather exciting isn't it?
940,Michael Palin,Exciting? No it's
941,Michael Palin,. My God it's dull* it's so desperately dull and tedious and stuffy and boring and des-per-ate-ly DULL.
942,John Cleese,Well* er* yes Mr Anchovy* but you see your report here says that you are an extremely dull person. You see* our experts describe you as an appallingly dull fellow* unimaginative* timid* lacking in initiative* spineless* easily dominated* no sense of humour* tedious company and irrepressibly drab and awful. And whereas in most professions these would be considerable drawbacks* in chartered accountancy they are a positive boon.
943,Michael Palin,But don't you see* I came here to find a new job* a new life* a new
944,Michael Palin,to my existence. Can't you help me?
945,John Cleese,Well* do you have any idea of what you want to do?
946,Michael Palin,Yes* yes I have.
947,John Cleese,What?
948,Michael Palin,Lion taming.
949,John Cleese,Well yes. Yes. Of course* it's a bit of a jump isn't it? I mean* er* chartered accountancy to lion taming in one go. You don't think it might be better if you worked your way
950,John Cleese,lion taming* say* via banking?
951,Michael Palin,No* no* no* no. No. I don't want to wait. At nine o'clock tomorrow I want to be in there* taming.
952,John Cleese,Fine* fine. But do you* do you have any qualifications?
953,Michael Palin,Yes* I've got a hat.
954,John Cleese,A hat?
955,Michael Palin,Yes* a hat. A lion taming hat. A hat with 'lion tamer' on it. I got it at Harrods. And it lights up saying 'lion tamer' in great big neon letters* so that you can tame them after dark when they're less stroppy.
956,John Cleese,I see* I see.
957,Michael Palin,And you can switch it off during the day time* and claim reasonable wear and tear as allowable professional expenses under paragraph 335C...
958,John Cleese,Yes* yes* yes* I do follow* Mr Anchovy* but you see the snag is... if I now call Mr Chipperfield and say to him* 'look here* I've got a forty-five-year-old chartered accountant with me who wants to become a lion tamer'* his first question is not going to be 'does he have his own hat?' He's going to ask what sort of experience you've had with lions.
959,Michael Palin,Well I ... I've seen them at the zoo.
960,John Cleese,Good* good* good.
961,Michael Palin,Lively brown furry things with short stumpy legs and great long noses. I don't know what all the fuss is about* I could tame one of those. They look pretty tame to start with.
962,John Cleese,And these* er* these lions ... how high are they?
963,Michael Palin,Well they're about so high* you know. They don't frighten me at all.
964,John Cleese,Really. And do these lions eat ants?
965,Michael Palin,Yes* that's right.
966,John Cleese,Er* well* Mr Anchovy ... I'm afraid what you've got hold of there is an anteater.
967,Michael Palin,A what?
968,John Cleese,An anteater. Not a lion. You see a lion is a huge savage beast* about five feet high* ten feet long* weighing about four hundred pounds* running forty miles per hour* with masses of sharp pointed teeth and nasty long razor-sharp claws that can rip your belly open before you can say 'Eric Robinson'* and they look like this.
969,John Cleese,Time enough I think for a piece of wood.
970,John Cleese,Now* shall I call Mr Chipperfield?
971,Michael Palin,Er* no* no* no. I think your idea of making the transition to lion taming via easy stages* say via insurance...
972,John Cleese,Or banking.
973,Michael Palin,Or banking* yes* yes* banking that's a man's life* isn't it? Banking* travel* excitement* adventure* thrills* decisions affecting people's lives.
974,John Cleese,Jolly good* well* er* shall I put you in touch with a bank?
975,Michael Palin,Yes.
976,John Cleese,Fine.
977,Michael Palin,Er... no* no* no. Look* er* it's a big decision* I'd like a couple of weeks to think about it... er... you know* don't want to jump into it too quickly. Maybe three weeks. I could let you know definitely then* I just don't want to make this definite decision. I'm er...
978,John Cleese,Well this is just one of the all too many cases on our books of chartered accountancy. The only way that we can fight this terrible debilitating social disease* is by informing the general public of its consequences* by showing young people that it's just not worth it. So* so please... give generously... to this address: The League for Fighting Chartered Accountancy* 55 Lincoln House* Basil Street* London* SW3.
979,John Cleese,Ron* now let's just get this quite clear - you're intending to jump across the English Channel?
980,John Cleese,And* er* just how far is that?
981,John Cleese,Er* that's to the beach at Calais?
982,John Cleese,Ron are you using any special techniques to jump this great distance?
983,John Cleese,I see. Er* Ron* what is the furthest distance that you've jumped* er* so far?
984,John Cleese,I see. Er* Ron* Ron* Ron* aren't you worried Ron* aren't you worried jumping twenty-six miles across the sea?
985,John Cleese,Well how is that?
986,John Cleese,I see. Well* er* thank you very much Ron and the very best of luck.
987,John Cleese,Mr Vercotti* er Mr Vercotti ... Mr Vercotti...
988,Michael Palin,What?
989,Michael Palin,I don't know what you're talking about.
990,John Cleese,Er* no* we're from the BBC* Mr Vercotti.
991,Michael Palin,Who?
992,John Cleese,The BBC.
993,Michael Palin,Oh* oh. I see. I thought* I thought you were the er . .. I like the police a lot* I've got a lot of time for them.
994,John Cleese,Mr* er* Mr Vercotti* what is your chief task as Ron's manager?
995,Michael Palin,Well my main task is* er* to fix a sponsor for the big jump.
996,John Cleese,And who is the sponsor?
997,Michael Palin,The Chippenham Brick Company. Ah* they* er* pay all the bills* er* in return for which Ron will be carrying half a hundredweight of their bricks.
998,John Cleese,I see. Well* er* it looks as if Ron is ready now. He's got the bricks. He's had his passport checked and he's all set to go. And he's off on the first ever cross-Channel jump.
999,John Cleese,Will Ron be trying the cross-Channel jump again soon?
